,Unnamed: 0,Question,Answer,lang,portal,instruction
18,18,How resident can view the profile?,"The profile can be viewed by tapping on the profile summary on the top (profile image, name and Aadhaar number on the cyan tab) in the main dashboard.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
19,19,"Is there any process to update the Aadhaar details through mAadhaar App , such like DOB, Mobile number , address etc. and completer process to be added?","No, the facility to update demographic details such as Name, DoB, Mobile number aren not available in the mAadhaar app. Only address update via document facility is currently available.
However the demographics updates features may be included in future releases.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
20,20,Is it compulsory to have registered mobile number to use mAadhaar?,"No. Anyone in India with a smartphone can install and use mAadhaar App. Although for creating the Aadhaaar profile in mAadhaar, registered mobile number is required.
Without an Aadhaar registered mobile number resident will be able to avail only a few of the services such as Order Aadhaar PVC card, Locate Enrolment Center, Verify Aadhaar, Scanning QR code etc.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
21,21,"Is there any process to update the Aadhaar details such as DOB, Mobile number , address etc. through mAadhaar App?","No, mAadhaar app can be used to update address only.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
22,22,How Date of Birth (DOB) in Aadhaar can be verified ?,DOB in Aadhaar shall be marked as verified when a valid proof of birth document is submitted at the time of enrolment or update. You are requested to ensure that the operator selects 'verified' option for DOB. Only year of birth (YOB) shall be printed on your Aadhaar Letter if the DOB is marked as 'declared' or 'approximate'.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
23,23,What is the process to be followed for Aadhaar enrolment and what information is to be provided  to get Aadhaar?,"An individual seeking enrolment to visit an Aadhar enrolment centre and submit a request (as specified) alongwith valid supporting documents. The enrolment operator shall capture the following information during the course of enrolment:
Mandatory Demographic information (Name, Date of Birth, Gender, Address)Optional demographic information (mobile number, email)Details of Mother/Father/Legal Guardian (in case of HOF based enrolment)AndBiometric Information (Photo, 10 finger prints, both Iris) After completing the enrolment the operator shall return all the documents alongwith an acknowledgement slip containing the applicable charges.( New Enrolment is Free of charge)List of valid supporting documents is available at List of Supporting DocumentYou can locate the nearest enrolment centre at : Bhuvan Aadhaar Portal",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
24,24,Will getting Aadhaar be compulsory?,"Residents who are eligible for Aadhaar can apply for Aadhaar as per the provisions of the Aadhaar Act and the Regulations framed thereunder. Similarly, agencies providing benefits and services may choose to use Aadhaar in their systems and may require that their beneficiaries or customers provide their Aadhaar for these services.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
25,25,What are the features and benefits of Aadhaar?,"One Aadhaar: Aadhaar is a unique number, and no resident can have a duplicate number since it is linked to their individual biometrics; thereby identifying fake and ghost identities which result in leakages today. Savings from eliminating duplicates and fakes through Aadhaar-based identification will further enable governments to expand benefits to other eligible residents.Portability: Aadhaar is a universal number, and agencies and services can contact the central Unique Identification database from anywhere in the country to authenticate a beneficiary's identity by availing authentication services.Electronic benefit transfers: The UID-enabled-Bank-Account network will offer a secure and low cost platform to directly remit benefits to residents without the heavy costs associated today with benefit distribution; the leakages in the current system will also be stemmed as a result.Aadhaar-based authentication to confirm entitlement delivered to the beneficiary: The UIDAI will offer online authentication services for agencies who wish to validate a resident's identity; this service will enable confirmation of the entitlement actually reaching the intended beneficiary. Improved services through increased transparency: Clear accountability and transparent monitoring would significantly improve access and quality of entitlements to beneficiaries and the agency alike. Self-service puts residents in control: Using Aadhaar as an authentication mechanism, residents should be able to access up-to-date information about their entitlements, demand services and redress their grievances directly from their mobile phone, kiosks or other means. In the case of self-service on the resident's mobile, security is assured using two-factor authentication (i.e. by proving possession of the resident's registered Mobile Number and knowledge of the resident's Aadhaar PIN). These standards are compliant with the Reserve Bank of India's approved standards for Mobile Banking and Payments.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
26,26,What is Aadhaar?,Aadhaar number is a 12 digit random number assigned to an individual seeking enrolment on completing the enrolment process. This is digital identity issued to an Aadhaar holder which can be authenticated through biometric or mobile OTP.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
27,27,How does the UIDAI protect the individual and their information?,"Protection of the individual, and the safeguarding their information is inherent in the design of the UID project. From having a random number which does not reveal anything about the individual to other features listed below, the UID project keeps the interest of the resident at the core of its purpose and objectives. Collecting limited information: Data collected by the UIDAI is purely to issue Aadhaar, and confirm the identity of Aadhaar holders. The UIDAI is collecting basic data fields in order to be able to establish identity this includes Name, Date of Birth, Gender, Address, Parent/ Guardian's name essential for children but not for others, mobile number and email id is optional as well . The UIDAI is collecting biometric information to establish uniqueness therefore collecting photo, 10 finger prints and iris. No profiling and tracking information collected: The UIDAI policy bars it from collecting sensitive personal information such as religion, caste, community, class, ethnicity, income and health. The profiling of individuals is therefore not possible through the UID system, since the data collected is limited to that required for identification and identity confirmation. The UIDAI had in fact, dropped the place of birth data field part of the initial list of information it planned to collect based on feedback from CSOs that it could lead to profiling. The UIDAI also does not collect any transaction records of the individual. The records of an individual confirming their identity through Aadhaar will only reflect that such a confirmation happened. This limited information will be retained for a short period time in the interest of the resident, to resolve any disputes. Release of information - yes or no response: The UIDAI is barred from revealing personal information in Aadhaar database the only response permitted is yes or no to requests to verify an identity The only exceptions are the order of a High court , or the order of a secretary, in case of national security . This is a reasonable exception and is clear and precise. This approach is also in line with security norms followed in US and Europe on access to data in case of a security threat. Data protection and privacy: The UIDAI has the obligation to ensure the security and confidentiality of the data collected . The data will be collected on software provided by the UIDAI and encrypted to prevent leaks in transit. Trained and certified enrollers will collect the information, who will not have access to the data being collected. The UIDAI has a comprehensive security policy to ensure the safety and integrity of its data. It will publish more details on this, including the Information Security Plan and Policies for the CIDR and mechanisms for auditing the compliance of the UIDAI and its contracting agencies. In addition, there will be strict security and storage protocols in place. Penalties for any security violation will be severe, and include penalties for disclosing identity information . There are penal consequences for unauthorised access to CIDR including hacking , and penalties for tampering with data in the CIDR under the Aadhaar Act, 2016 . Convergence and linking of UIDAI information to other databases: The UID database is not linked to any other databases, or to information held in other databases. Its only purpose will be to verify a person's identity at the point of receiving a service, and that too with the consent of Aadhaar holder. The UID database will be guarded both physically and electronically by a few select individuals with high clearance. It will not be available even for many members of the UID staff and will be secured with the best encryption, and in a highly secure data vault. All access details will be properly logged.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
28,28,What use can Aadhaar be put to?,"Aadhaar can be used to identity beneficiaries for delivery of financial and other subsidies, benefits and services offered by the scheme implementing agencies. Beside this, Aadhaar authentication is allowed in the interest of good governance preventing leakage of public funds, promoting ease of living of residents and enabling better access to services for them.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
29,29,How is Aadhaar different from any other identity issued by the government?,"Aadhaar is a unique 12 digit random number assigned to a resident which is apart from offline or physical  verification, verifiable online anywhere anytime using the Aadhaar authentication platform. This number, when authenticated successfully, would serve as proof of identity and could be used for identification of beneficiaries for transfer of benefits, subsidies, services and other purposes.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
30,30,What are the possible criminal penalties envisaged against the fraud or unauthorized access to data?,"Following are the criminal offences and penalties provided in the Aadhaar Act, 2016 (as amended):
1. Impersonation by providing false demographic or biometric information, at the time of enrolment, is an offence – imprisonment up to 3 years or a fine of upto Rs. 10,000/- or with both.
2. Appropriating the identity of an Aadhaar number holder by changing or attempting to change the demographic and biometric information of an Aadhaar number holder is an offence - imprisonment upto 3 years and a fine of upto Rs. 10,000/-.
3. Pretending to be an agency authorized to collect Identity information of a resident is an offence – imprisonment up to 3 years or with a fine of upto Rs. 10,000 for a person, or up to Rs. 1 lakh for a company, or with both.
4. Intentionally transmitting/ disclosing information collected during enrolment/ authentication to an unauthorized person or in contravention of any agreement or arrangement under this Act is an offence – imprisonment upto 3 years or with a fine of            up to Rs. 10,000/- for a person, or of up to Rs. 1 lakh for a company, or with both.
5. Unauthorized access to the central identities data repository (CIDR) and hacking is an offence – imprisonment upto 10 years and a fine of minimum Rs. 10 Lakhs.
6. Tampering with data in the central identities data repository is an offence – imprisonment upto 10 years and a fine up to Rs. 10,000/-.
7. Unauthorized use of identity information of an individual by an requesting entity or Offline Verification Seeking Entity – imprisonment up to 3 years or fine up to Rs.10,000/- in case of a individual, or of upto Rs.1 Lakh in case of a company or with            both.
8. Penalty for an offence, for which no specific penalty is provided elsewhere - imprisonment upto 3 years or fine up to Rs.25,000/- in case of a individual, or of up to Rs.1 Lakh in case of a company or with both.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
31,31,What are the Data protection and privacy measures taken by UIDAI ?,"The UIDAI ensures the security and confidentiality of the data collected. The enrolment data is collected on client application  provided by the UIDAI, which is encrypted at source and the packet is transmitted in a secure manner. UIDAI has published guidelines in this regard which is available on its website. UIDAI has security policy in place for data security in motion and at rest.
Penalty for unauthorized access to Central Identities Data Repository have been detailed in Aadhaar (Targeted delivery of financial and other subsidies , benefits and services) Act, 2016  - Chapter VII under Offences and Penalties, Section 38.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
32,32,What are the privacy protections in place to protect the right to privacy of the resident?,"Protection of the individual and the safeguarding their information is inherent in the design of the UID project. From having a random number which does not reveal anything about the individual to other features listed below, the UID project keeps the interest of the resident at the core of its purpose and objectives. 

 Collecting limited informationThe UIDAI is collecting only basic data fields - Name, Date of Birth, Gender, Address, Parent/ Guardian’s (name essential for children but not for others) photo, 10 finger prints and iris scan.
 No profiling and tracking information collectedThe UIDAI policy bars it from collecting sensitive personal information such as religion, caste, community, class, ethnicity, income and health. The profiling of individuals is therefore not possible through the UID system.
 Release of information – yes or no responseThe UIDAI will not reveal personal information in the Aadhaar database – the only response will be a ‘yes’ or ‘no’ to requests to verify an identity
 Convergence and linking of UIDAI information to other databasesThe UID database is not linked to any other databases, or to information held in other databases. Its only purpose will be to verify a person’s identity at the point of receiving a service, and that too with the consent of the aadhaar number holderThe UID database will be guarded both physically and electronically by a few select individuals with high clearance. The data will be secured with the best encryption, and in a highly secure data vault. All access details will be properly logged.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
33,33,Can the resident’s data be purged from Aadhaar database?,UIDAI does not purge the data of the Aadhaar card holder from the database once he/she has obtained his/her Aadhaar card. The data is used for de-duplication of every new entrant in the database against all the existing records to determine the unique identity of the Aadhaar card holder.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
34,34,Can a resident opt out of Aadhaar?,"The resident has the option in the first instance not to enrol for Aadhaar at all. Aadhaar is a service delivery tool, and not designed for any other purpose. Aadhaar being unique to every resident is non-transferable. If the resident does not wish to use the Aadhaar, it will remain dormant, as the use is based on the physical presence and biometric authentication of the person. However, children, within 6 months of attaining majority, may make an application for cancellation of their Aadhaar as per the provisions of the Aadhaar Act, 2016 (as amended) and regulations framed there under.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
35,35,How will the grievances of the resident be addressed?,"The UIDAI will set up a Contact Centre to manage all queries and grievances and serve as a single point of contact for the organization. The details of the Contact Centre will be published on the website as and when enrolment begins.
The users of this system are expected to be residents, registrars and enrolment agencies.
Any resident seeking enrolment is given a printed acknowledgement form with an Enrolment Number, that enables the resident to make queries about her/his enrolment status through any communication channel of the contact centre.
Each enrolment agency will be given a unique code that will also enable faster and pointed access to the Contact Centre that includes a technical helpdesk.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
36,36,Who will have access to the UID database? How will the security of the database be ensured?,Nobody has access to UID database except the CIDR administrators which is periodically reviewed by UIDAI.• Aadhaar card holder is entitled to access their own Aadhaar card information.•CIDR operations follows strict access protocols to limit access to the database by the administrators.• The data stored in CIDR is encrypted and the database is secured against hacking and other forms of cyberattacks.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
38,38,Can an NRI apply for Aadhaar? ,Yes. An NRI (whether minor or adult) with a valid Indian Passport can apply for Aadhaar from any Aadhaar Enrolment Centre. In case of NRIs the residential condition of 182 days is not mandatory.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
39,39,Can my passport be used for Aadhaar update of my spouse?,"If your passport has the name of your spouse, then it can be used as Proof of Address for them.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
40,40,I am an NRI and I have an Aadhaar. Can my spouse be enrolled based on my Aadhaar & passport?,"NRI can act as HOF in the capacity of mother/father/legal guardian for Aadhaar enrolment, by submitting valid proof of relation (POR) document. List valid supporting documents is available at List of Supporting Document",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
41,41,What is the process for Aadhaar enrolment for children of NRIs above 5 years and below 18 years of age?,"An NRI child seeking enrolment to visit an Aadhar enrolment centre along with Mother and/or Father or Legal guardian and submit a request in requisite enrolment form alongwith valid supporting documents. Enrolment and Update form can also be downloaded from https://uidai.gov.in/en/my-aadhaar/downloads/enrolment-and-update-forms.html
The enrolment operator shall capture the following informations during the course of enrolment:Mandatory Demographic information (Name, Date of Birth, Gender, Address and email)Optional demographic information (mobile number )Details (Aadhaar number) of Mother and/or Father or Legal Guardian (in case of HOF based enrolment) is captured . Both or One of the parents/ guardian has to authenticate on behalf of the child and also give consent for enrolment of the minor by signing the enrolment form. AndBiometric Information (Photo of child) Type of documents presented [valid Indian passport of the child is mandatory as Proof of Identity (PoI)]Residential Status ( Resided in India for at least 182 days is not applicable for NRI)After completing the enrolment the operator shall return all the documents alongwith an acknowledgement slip containing the applicable charges (New Enrolment is Free of charge).List of valid supporting documents is available at List of Supporting Document
You can locate the nearest enrolment centre at : Bhuvan Aadhaar Portal",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
42,42,Can I give an International mobile number in my Aadhaar details?,"Yes, however messages shall not be delivered on international/ non-Indian mobile numbers.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
43,43,What is the procedure for NRI's to enrol for Aadhaar?,"The process is:An NRI seeking enrolment to visit an Aadhaar enrolment center and submit a requisite form along with valid supporting documents. Enrolment and Update form can also be downloaded from (Enrolment & Update Forms) 
The enrolment operator shall capture the following information during the course of enrolment:
Mandatory Demographic information (Name, Date of Birth, Gender, Address and email)Optional demographic information (mobile number)AndBiometric Information (Photo, 10 finger prints, both Iris) Type of documents presented [valid Indian passport is mandatory as Proof of Identity (PoI)]Residential Status ( Resided in India for at least 182 days is not applicable for NRI)
After completing the enrolment the operator shall return all the documents along with an acknowledgement slip containing the applicable charges.List of valid supporting documents is available at (List Of Supporting Documents)  You can locate the nearest enrolment centre at : (Bhuvan Aadhaar Portal)",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
44,44,The address in my passport is not updated. I want to give my present address for my Aadhaar application. Is that possible?,Yes. A valid Indian Passport is mandatory as a Proof of Identity (PoI) for NRI applicants. You may choose to give any other Indian Address with a valid supporting Proof of Address (PoA) as per the list of documents acceptable by UIDAI:List of Supporting Document,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
45,45,What is the process for NRI enrolment?,"NRI seeking enrolment need to visit an Aadhar enrolment centre and submit a request in requisite enrolment form alongwith valid supporting documents. Enrolment and Update form can also be downloaded from https://uidai.gov.in/en/my-aadhaar/downloads/enrolment-and-update-forms.html The enrolment operator shall capture the following informations during the course of enrolment:
Mandatory Demographic information (Name, Date of Birth, Gender, Address and email)Optional demographic information (mobile number)AndBiometric Information (Photo, 10 finger prints, both Iris) Type of documents presented [valid Indian passport is mandatory as Proof of Identity (PoI)]Residential Status ( Resided in India for at least 182 days is not applicable for NRI)In case the NRI requires an address other than that mentioned in passport, he has option to submit any valid proof of address document available to resident Indian.
After completing the enrolment the operator shall return all the documents alongwith an achnowledgement slip containing the applicable charges.List of valid supporting documents is available at List of Supporting DocumentYou can locate the nearest enrolment centre at : Bhuvan Aadhaar Portal",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
46,46,I do not have any Date of Birth proof. How do I update the DoB in Aadhaar?,"At the time of enrolment, an individual seeking enrolment has option to record DOB In Aadhaar as 'declared' or 'approximate' if no valid proof of birth is available. However to update DOB in Aadhaar,  the  Aadhaar number holder to submit a valid proof of birth document.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
47,47,My date of birth in PAN and Aadhaar do not match. Not able to link them. Pls help?,"You will have to correct your date of birth, either with Aadhaar or with PAN to link both. In-case linking problem still persists, we request you to please get in touch with Income Tax department.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
48,48,My name is different in PAN and Aadhaar. It is not allowing me to link both. What to do?,"In order to Link Aadhaar with PAN, ideally your demographic details (i.e. Name, Gender and Date of Birth) should match in both the documents.
In case of any minor mismatch in Aadhaar Name provided by taxpayer when compared to the actual data in Aadhaar, One Time Password (Aadhaar OTP) will be sent to the mobile registered with Aadhaar. Taxpayers should ensure that the date of birth and gender in PAN and Aadhaar are exactly same.
In a rare case where Aadhaar name is completely different from name in PAN, then the linking will fail and taxpayer will be prompted to change the name in either Aadhaar or in PAN database.
Note:
For PAN data update related queries you may visit: https://www.utiitsl.com.
For Aadhaar update related information you may visit UIDAI official website: www.uidai.gov.in
In-case linking problem still persists you are requested to visit Income Tax official website or call IT department helpline.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
49,49,What is MyAadhaar portal ?,MyAadhaar portal is a login based portal containing an array of Aadhaar related services. An Aadhaar Number holder may visit MyAadhaar by clicking on https://myaadhaar.uidai.gov.in/,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
50,50,How to login MyAadhaar portal ?,An Aadhaar Number holder can login MyAadhaar portal using Aadhaar number and OTP received on registered mobile number.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
51,51,Can I use MyAadhaar portal without registered mobile number ?,"Few services like QR code scan, Book an Appointment, Order Aadhaar PVC card, Check Enrolment status, Locate Enrolment Center, File a complaint etc. can be accessed without registered mobile number on MyAadhaar portal.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
52,52,What is the benefit of MyAadhaar portal?,An Aadhaar Number holder can avail all Aadhaar related online services in few clicks using MyAadhaar portal which are categorized on Homepage with relevant icons and FAQ sections.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
53,53,What is the difference between mAadhaar and MyAadhaar ?,"mAadhaar is mobile based application for smartphones on Android or iOS, whereas MyAadhaar is a login based portal where resident can avail an array of Aadhaar based online services.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
54,54,Whether documents submitted in a request will be verified by external authority?,"Yes, Enrolment/Update request may go to other authorities(state) for verification.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
55,55,Is Aadhaar issued to Resident Foreign Nationals will be valid for lifetime ?,"No, Aadhaar issued to Resident Foreign National will be valid till:1. Validity of VISA/Passport. 2. In case of OCI card holder and Nationals of Nepal and Bhutan validity will be 10 years from the date of enrolment.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
56,56,What is the process for Resident Foreign National enrolment ?,"Resident Foreign National seeking enrolment to visit designated Aadhaar enrolment centre and submit a request in requisite enrolment form alongwith valid supporting documents.
The enrolment operator shall capture the following information during the course of enrolment:
Residential Status : (resided in India for 182 days or more in 12 months immediately preceding enrolment application)Mandatory Demographic information: (Name, Date of Birth, Gender, Indian Address and email)Optional demographic information: (mobile number)Biometric Information: (Photo, Finger Prints and both Iris)
Type of documents presented: [valid foreign passport and valid Indian VISA/Valid OCI card / Valid LTV is mandatory as Proof of Identity (PoI)] (Passport of Nepal/Bhutan for nationals of Nepal/Bhutan. In case passport is not available, following two documents to be submitted:(1) Valid Nepalese/ Bhutanese Citizenship Certificate (2) Limited validity Photo Identity Certificate issued by Nepalese Mission / Royal Bhutanese Mission in India for stay of more than 182 days. And Proof of Address (PoA) as specified in the list of valid supporting documents.The details submitted through enrolment can be confirmed with the concerned authorities during processing of enrolment.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
57,57,"I am Resident Foreign National, can I enrol for Aadhaar?","Yes, resident foreign nationals who resided in India for 182 days or more in 12 months immediately preceding enrolment application can enrol for Aadhaar by submitting demographic details (supported by valid documents) and biometrics details. Resident Foreign National to apply in a requisite form for enrolment. Link for enrolment and update forms - Enrolment & Update Forms
The list of valid supporting documents for enrolment and update is available at List of Supporting Document",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
58,58,"Where multiple address proofs are available for a individual (e.g... present and native), which proof would UIDAI accept, and where will it send Aadhaar Letter?",Individual seeking enrolment has option to decide which address to be recorded in Aadhaar for which valid POA document is available.  The Aadhaar Letter will be delivered on the Address registered in Aadhaar.,english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
59,59,What is the option if the address indicated on the Proof of Address (PoA) document appears to be inadequate for postal delivery? Can additional information from the individual seeking enrolment can be accepted?,"Yes. The  individual seeking enrolment is allowed to add minor fields to the address mentioned in the PoA document as long as these additions/modifications do not alter the base address mentioned in the PoA document. If the changes required are substantial and change the base address,  document with correct address to be provided as POA.",english,aadhar,Provide an accurate and concise response to the following question related to aadhar in english.
